AREA_NM,ADDR,VIEWS,MONTH,Region,Latitude,Longitude
어린이교통공원,제주특별자치도 제주시 명림로 437 (봉개동 4.3 공원 맞은편),106.0,1,(봉개동,33.4514707449038,126.623315505216
도그앤캣,제주특별자치도 서귀포시 홍중로 119-2  601동 107호,42.0,1,601동,33.2631200520785,126.555208973226
제주하늘을날다(패러글라이딩),제주특별자치도 제주시 도남로17길 32 영산홍아파트 가동,227.0,1,가동,33.4911356491329,126.53143833943
서건도,제주특별자치도 서귀포시 강정동 산 1,150.0,1,강정동,33.230076674038,126.498485934147
산지천,제주특별자치도 제주시 건입동,134.0,1,건입동,33.5150321079833,126.531518045313
흑돼지거리,제주특별자치도 제주시 건입동,114.0,1,건입동,33.5150321079833,126.531518045313
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,6894.0,1,구좌읍,33.4910972819998,126.811461205688
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,5728.0,1,구좌읍,33.5283774190136,126.771615754394
아부오름,제주특별자치도 제주시 구좌읍 송당리 산 164-1,1011.0,1,구좌읍,33.4476795924933,126.777366485068
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,965.0,1,구좌읍,33.5233717133389,126.862239713197
월정리해변,제주특별자치도 제주시 구좌읍 월정리 33-3,955.0,1,구좌읍,33.555112541169,126.798640676717
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 15,1770.0,1,남원읍,33.2727234850834,126.675138292326
동백포레스트,서귀포시 남원읍 신례리 1767,1432.0,1,남원읍,33.3003449035082,126.636216133758
휴애리 자연생활공원,"제주특별자치도 서귀포시 남원읍 신례동로 256 (신례리, 휴애리)",1111.0,1,남원읍,33.3085347525753,126.634380832055
위미리 동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7,848.0,1,남원읍,0.0,0.0
물영아리오름,제주특별자치도 서귀포시 남원읍 남조로 988-11,529.0,1,남원읍,33.3612712046496,126.692962246783
신비의도로카트체험장,제주특별자치도 제주시 노형동 187-3,132.0,1,노형동,33.4622212079716,126.484854697615
제주시 충혼묘지 4·3추모비(박진경 추도비),제주특별자치도 제주시 노형동 산 19-2,60.0,1,노형동,33.4117938658122,126.491828714548
가파도,제주특별자치도 서귀포시 대정읍 가파리,1222.0,1,대정읍,33.1697319370923,126.271293664433
송악산 [출입제한 - 자연휴식년제 적용 중],제주특별자치도 서귀포시 대정읍 송악관광로 421-1,1078.0,1,대정읍,33.2077669201535,126.290887906913
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,421.0,1,대정읍,33.2825441646059,126.287343832589
초콜릿박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,400.0,1,대정읍,33.257052827111,126.229932868924
모슬포항,제주특별자치도 서귀포시 대정읍 신영로36번길 48,399.0,1,대정읍,33.2190593080686,126.24841489851
도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,1158.0,1,도두1동,33.5010079784134,126.474247107518
제주올레 17코스,제주특별자치도 제주시 도두1동 2612-1,182.0,1,도두1동,33.50524279514,126.468217854413
도두해안도로,제주특별자치도 제주시 도두2동 706-3,39.0,1,도두2동,33.510401625438,126.482338576502
도두봉,제주특별자치도 제주시 도두동 산 1,685.0,1,도두동,33.5085344192839,126.469041395771
범섬,제주특별자치도 서귀포시 법환동,261.0,1,법환동,33.2431480688709,126.514144783946
제주올레 6코스,제주특별자치도 서귀포시 보목동 1377-4,199.0,1,보목동,33.2371501897263,126.596001249754
제지기오름,제주특별자치도 서귀포시 보목동 275-1,91.0,1,보목동,33.24177090588,126.610078628977
"안세미 (명도오름,明道岳)",제주특별자치도 제주시 봉개동 산2,46.0,1,봉개동,33.468206886739,126.606102137369
개오리오름,제주특별자치도 제주시 봉개동,41.0,1,봉개동,33.4917232670658,126.594687244154
아라리오뮤지엄탑동시네마,제주특별자치도 제주시 삼도2동 1261-8,97.0,1,삼도2동,33.517445248574,126.523396875442
제주올레 18코스,제주특별자치도 제주시 삼양1동 1131-2,144.0,1,삼양1동,33.5286552757978,126.596319573991
삼양 셋다리물,제주특별자치도 제주시 삼양1동 1938-9,55.0,1,삼양1동,33.5289556528478,126.589153338424
삼양해안도로,제주특별자치도 제주시 삼양2동,50.0,1,삼양2동,33.5228672016569,126.584664643949
삼양해수욕장,제주특별자치도 제주시 삼양동,233.0,1,삼양동,33.521885794087,126.585599365994
서귀다원,제주특별자치도 서귀포시 상효동 산 118,641.0,1,상효동,0.0,0.0
1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,4075.0,1,색달동,33.3575245371214,126.462896523457
별내린전망대,제주특별자치도 서귀포시 색달동 2938-1,187.0,1,색달동,33.2474860429014,126.416836511421
솔동산8경,제주특별자치도 서귀포시 서귀동 솔동산로,62.0,1,서귀동,0.0,0.0
천지연기정길,제주특별자치도서귀포시 서귀동 961-33,55.0,1,서귀동,33.2471973965458,126.554863002553
제주올레 7-1코스,제주특별자치도 서귀포시 서호동 553-1,76.0,1,서호동,33.2678472135273,126.520104904348
서귀포해안,제주특별자치도 서귀포시 서호동,49.0,1,서호동,33.2641864864094,126.517346819897
바람모루,제주특별자치도 서귀포시 서호동,47.0,1,서호동,33.2641864864094,126.517346819897
황우지해안,제주특별자치도 서귀포시 서홍동 766-1,776.0,1,서홍동,33.2415695572508,126.549766357796
새연교,제주특별자치도 서귀포시 서홍동 707-4,629.0,1,서홍동,33.2385316399892,126.558886662963
외돌개,제주특별자치도 서귀포시 서홍동 791,608.0,1,서홍동,33.240076867127,126.545663944153
제주올레 7코스,제주특별자치도 서귀포시 서홍동 795-1,413.0,1,서홍동,33.2405417950496,126.548102419629
서귀포칠십리시공원,제주특별자치도 서귀포시 서홍동 576-9,287.0,1,서홍동,33.2460184148318,126.553476831206
성산초등학교 서청특별중대 주둔지,제주특별자치도 서귀포시 성산면 성산리 171-9,67.0,1,성산면,0.0,0.0
성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,7101.0,1,성산읍,33.462233758483,126.936800689963
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,3082.0,1,성산읍,33.4260423785235,126.926442688389
